Episode,Total Reward,Average Reward,Loss,Epsilon,Steps
75,41.53602373801472,2.966858838429623,3.5604641948427473,0.2677257731222854,14
76,227.39649553502142,5.9841183035531955,3.7188364581057898,0.2596074193503655,38
77,219.4558310500127,5.775153448684545,3.8635665209669816,0.2517917751154053,38
78,220.81331357446936,6.494509222778511,3.8114543942844166,0.24504617969677067,34
79,243.09717857834056,4.051619642972343,4.1838402112325035,0.23368757444951876,60
80,224.62043805564213,6.8066799410800645,3.8602233511028867,0.2277248111972905,33
81,191.39890879579346,5.799966933205862,3.6682122295553032,0.2219556078290591,33
82,267.437775315879,5.143034140689981,4.206329329655721,0.213242422327641,52
83,238.9406979250927,5.689064236311731,4.019983674798693,0.20652822567742596,42
84,293.85498587690626,5.066465273739763,3.9433224591715583,0.19770785193287838,58
85,206.04756957275947,5.887073416364556,4.06318017414638,0.19262750185015803,35
